9Th4qTv-4jE,17.15.11,"dapulse is now monday.com. And there's a good reason why.","monday.com, formerly dapulse",28,"2017-11-13 08:38:48","dapulse|'monday.com'|'monday'|'project management'",3931,17,0,2,"https://i.ytimg.com/vi/9Th4qTv-4jE/default.jpg",False,False,False
Ja_GMU7-sjs,17.15.11,"Google Pixelbook: $1000 of Weird!","Marques Brownlee",28,"2017-11-09 21:18:33","Google Pixelbook|'Chromebook'|'Pixel'|'$1000'|'1000 dollar'|'1000'|'expensive chromebook'|'pixelbook review'|'pixelbook pen'|'chromebook pixel'|'chromebook'|'best chromebook'|'MKBHD'",1646057,53901,1566,5963,"https://i.ytimg.com/vi/Ja_GMU7-sjs/default.jpg",False,False,False
dUMH6DVYskc,17.16.11,"Ten-Year-Old's Face Unlocks Face ID on His Mom's iPhone X","Attaullah Malik",28,"2017-11-14 12:02:49","iPhone X|'Face ID'|'Face ID Fooled'|'Face ID Fail'|'Face ID Test'|'Face ID Review'|'iPhone X Review'|'Facial Recognition'|'Son unlocks mom's iphone x'|'Ten-Year-Old's Face Unlocks Face ID'|'Ten-Year-Old'|'Face Unlocks'",1362421,8970,4131,3857,"https://i.ytimg.com/vi/dUMH6DVYskc/default.jpg",False,False,False
ItYOdWRo0JY,17.16.11,"Selling My iPhone X To a Machine at Walmart","TechSmartt",28,"2017-11-14 00:45:15","iphone x|'iphone 10'|'iphone'|'walmart'|'techsmartt'|'keaton keller'",2900560,37329,34908,10768,"https://i.ytimg.com/vi/ItYOdWRo0JY/default.jpg",False,False,False
kgaO45SyaO4,17.16.11,"The New SpotMini","BostonDynamics",28,"2017-11-13 20:09:58","Robots|'Boston Dynamics'|'SpotMini'|'Legged Locomotion'|'Dynamic robot'",5531707,72727,3362,14816,"https://i.ytimg.com/vi/kgaO45SyaO4/default.jpg",False,False,False
k1cA-Wh3Tc0,17.16.11,"Peephole Reverser? | 9 Pointless Tech Gadgets!","Matthias",28,"2017-11-15 00:00:03","tech|'gadgets'|'new'|'2017'|'pointless tech gadgets'|'apple'|'smart product'|'cool gadgets'|'new gadget'|'weird things online'|'tech under'|'tech invention'|'technology'|'unbox'|'unboxing'|'on amazon'|'reacting to'|'family friendly'|'inventions'|'gadgets from'|'things on amazon'|'shopping gadget'|'latest tech'|'weird tech'|'gag gift'|'gift idea'|'kids'|'gift'|'mathias'|'matthias'|'matthiasiam'|'hi5 studios'|'#M757'",623803,17286,511,6126,"https://i.ytimg.com/vi/k1cA-Wh3Tc0/default.jpg",False,False,False
9Ca8zWJOlFQ,17.16.11,"Apple iPhone X Review: The Best Yet!","Marques Brownlee",28,"2017-11-15 02:17:29","iPhone X|'iPhone 10'|'iPhone ten'|'notch'|'iPhone notch'|'fullscreen iphone'|'new iphone'|'iPhone X review'|'iPhone 10 review'|'super retina display'|'super retina'|'super retina hd'|'face id'|'FaceID'|'Face ID'|'iPhone X Face ID'|'iPhone facial recognition'|'facial recognition'|'ios 11'|'iOS 11.1'|'iPhone update'|'iOS update'|'iPhone X features'|'iPhone X gestures'|'MKBHD'",1825705,77531,4156,12025,"https://i.ytimg.com/vi/9Ca8zWJOlFQ/default.jpg",False,False,False
gHZ1Qz0KiKM,17.16.11,"2 Weeks with iPhone X","iJustine",28,"2017-11-13 19:07:23","ijustine|'week with iPhone X'|'iphone x'|'apple'|'iphone'|'iphone x review'|'iphone x unboxing'",860406,20489,2507,3083,"https://i.ytimg.com/vi/gHZ1Qz0KiKM/default.jpg",False,False,False
Cr9oGxr0Qa0,17.16.11,"Making Sandals with Zip-Ties and a Laser","William Osman",28,"2017-11-14 14:00:02","laser cutter|'william osman'|'crappy science'|'sandals'|'flip flops'|'laser sandals'|'zip ties'|'diy'|'how to'|'make sandals'|'tap dancing'|'zip tie'|'laser'",153583,6989,92,845,"https://i.ytimg.com/vi/Cr9oGxr0Qa0/default.jpg",False,False,False
nc99ccSXST0,17.16.11,"5 Ice Cream Gadgets put to the Test","CrazyRussianHacker",28,"2017-11-12 21:50:37","5 Ice Cream Gadgets|'Ice Cream'|'Cream Sandwich Maker'|'gadgets'|'gadget review'|'review'|'unboxing'|'kitchen gadgets'|'Gadgets put to the Test'|'testing'|'10 Kitchen Gadgets'|'7 Camping Coffee Gadgets'|'10 Kitchen Gadgets put to the Test'",1154280,27632,1096,2547,"https://i.ytimg.com/vi/nc99ccSXST0/default.jpg",False,False,False
